league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,13.3,23,1.73,22,1,0,0,0,0,2,0.15,2,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,117,6.09,71,20,12,10,4,0,23,1.2,14,5,2,1,1,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,5,0.13,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,111,3.54,62,33,4,5,5,2,10,0.32,6,2,1,1,0,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,29,2.91,15,6,5,2,1,0,3,0.3,3,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,74,2.91,55,1,8,7,3,0,7,0.27,4,0,1,1,1,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,8,0.64,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,7.8,12,1.54,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,20.8,42,2.02,35,0,1,6,0,0,3,0.14,2,0,0,1,0,0
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,2.9,10,3.47,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,93,3.29,72,2,7,6,4,2,8,0.28,8,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,124,4.8,101,13,3,5,2,0,18,0.7,14,2,1,1,0,0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,17.6,43,2.44,35,0,0,6,2,0,4,0.23,3,0,0,1,0,0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,15.2,29,1.91,21,0,1,1,6,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
